Utility_Number,Utility_Name,State_FIPS,State_Name,Total_Sales_MWh,BA_Code,BA_Number,BA_Long_Name,BA_Short_Name
55,"City of Aberdeen - (MS)",28000,Mississippi,209731,57,18642,"Tennessee Valley Authority",TVA
59,"City of Abbeville - (LA)",22000,Louisiana,129842,28,56669,"Midcontinent Independent System Operator",MISO
84,"A & N Electric Coop",24000,Maryland,2901,39,14725,"PJM Interconnection, LLC",PJM
84,"A & N Electric Coop",51000,Virginia,720443,39,14725,"PJM Interconnection, LLC",PJM
97,"Adams Electric Coop",17000,Illinois,174976,28,56669,"Midcontinent Independent System Operator",MISO
108,"Adams-Columbia Electric Coop",55000,Wisconsin,530437,28,56669,"Midcontinent Independent System Operator",MISO
113,"Agway Energy Services, LLC",36000,New York,339218,34,13501,"New York Independent System Operator",NYIS
113,"Agway Energy Services, LLC",42000,Pennsylvania,39577,39,14725,"PJM Interconnection, LLC",PJM
118,"Adams Rural Electric Coop, Inc",39000,Ohio,112662,39,14725,"PJM Interconnection, LLC",PJM
122,"Village of Arcade - (NY)",36000,New York,157457,34,13501,"New York Independent System Operator",NYIS
123,"City of Adel- (GA)",13000,Georgia,120669,48,18195,"Southern Company Services, Inc. - Transmission",SOCO
150,"Adrian Public Utilities Comm",27000,Minnesota,13395,28,56669,"Midcontinent Independent System Operator",MISO
155,"Agralite Electric Coop",27000,Minnesota,231038,28,56669,"Midcontinent Independent System Operator",MISO
162,"Aiken Electric Coop Inc",45000,South Carolina,948645,43,17543,"South Carolina Public Service Authority",SC
176,"Ajo Improvement Co",4000,Arizona,7427,4,803,"Arizona Public Service Company",AZPS
195,"Alabama Power Co",1000,Alabama,55686192,48,18195,"Southern Company Services, Inc. - Transmission",SOCO
201,"City of Alachua - (FL)",12000,Florida,131006,16,6455,"Duke Energy Florida",FPC
207,"City of Alameda",6000,California,326652,9,2775,"California Independent System Operator",CISO
213,"Alaska Electric Light&Power Co",2000,Alaska,388979,29,-9999,"Missing",NA
219,"Alaska Power and Telephone Co",2000,Alaska,65732,29,-9999,"Missing",NA
