Utility_Number,Utility_Name,State_FIPS,State_Name,Total_Sales_MWh,BA_Code,BA_Number,BA_Long_Name,BA_Short_Name
55,"City of Aberdeen - (MS)",1000,Alabama,0,57,18642,"Tennessee Valley Authority",TVA
55,"City of Aberdeen - (MS)",28000,Mississippi,201106,57,18642,"Tennessee Valley Authority",TVA
59,"City of Abbeville - (LA)",22000,Louisiana,132078,28,56669,"Midcontinent Independent System Operator",MISO
84,"A & N Electric Coop",24000,Maryland,2565,39,14725,"PJM Interconnection, LLC",PJM
84,"A & N Electric Coop",51000,Virginia,672045,39,14725,"PJM Interconnection, LLC",PJM
97,"Adams Electric Coop",17000,Illinois,164284,28,56669,"Midcontinent Independent System Operator",MISO
108,"Adams-Columbia Electric Coop",55000,Wisconsin,468875,28,56669,"Midcontinent Independent System Operator",MISO
113,"Agway Energy Services, LLC",36000,New York,408843,34,13501,"New York Independent System Operator",NYIS
113,"Agway Energy Services, LLC",42000,Pennsylvania,43567,39,14725,"PJM Interconnection, LLC",PJM
118,"Adams Rural Electric Coop, Inc",39000,Ohio,109896,39,14725,"PJM Interconnection, LLC",PJM
122,"Village of Arcade - (NY)",36000,New York,150808,34,13501,"New York Independent System Operator",NYIS
123,"City of Adel- (GA)",13000,Georgia,111535,48,18195,"Southern Company Services, Inc. - Transmission",SOCO
150,"Adrian Public Utilities Comm",27000,Minnesota,12819,28,56669,"Midcontinent Independent System Operator",MISO
155,"Agralite Electric Coop",27000,Minnesota,230961,28,56669,"Midcontinent Independent System Operator",MISO
162,"Aiken Electric Coop Inc",45000,South Carolina,940066,43,17543,"South Carolina Public Service Authority",SC
176,"Ajo Improvement Co",4000,Arizona,9470,4,803,"Arizona Public Service Company",AZPS
195,"Alabama Power Co",1000,Alabama,54952074,48,18195,"Southern Company Services, Inc. - Transmission",SOCO
201,"City of Alachua - (FL)",12000,Florida,130423,16,6455,"Duke Energy Florida",FPC
207,"City of Alameda",6000,California,341836,9,2775,"California Independent System Operator",CISO
213,"Alaska Electric Light&Power Co",2000,Alaska,393266,29,-9999,"Missing",NA
219,"Alaska Power and Telephone Co",2000,Alaska,63391,29,-9999,"Missing",NA
221,"Alaska Village Elec Coop, Inc",2000,Alaska,113088,29,-9999,"Missing",NA
230,"Albany Water Gas & Light Comm",13000,Georgia,921579,48,18195,"Southern Company Services, Inc. - Transmission",SOCO
232,"City of Albemarle - (NC)",37000,North Carolina,291506,12,5416,"Duke Energy Carolinas",DUK
240,"Albemarle Electric Member Corp",37000,North Carolina,214204,39,14725,"PJM Interconnection, LLC",PJM
241,"Albertville Municipal Utilities Board",1000,Alabama,584936,57,18642,"Tennessee Valley Authority",TVA
261,"AGC Division of APG Inc",18000,Indiana,2629819,28,56669,"Midcontinent Independent System Operator",MISO
276,"Alcorn County Elec Power Assn",28000,Mississippi,607891,57,18642,"Tennessee Valley Authority",TVA
289,"City of Alexander City",1000,Alabama,130746,48,18195,"Southern Company Services, Inc. - Transmission",SOCO
295,"City of Alexandria - (MN)",27000,Minnesota,285698,28,56669,"Midcontinent Independent System Operator",MISO
296,"Alfalfa Electric Coop, Inc",20000,Kansas,38020,51,59504,"Southwest Power Pool",SWPP
296,"Alfalfa Electric Coop, Inc",40000,Oklahoma,1071921,51,59504,"Southwest Power Pool",SWPP
298,"City of Alexandria - (LA)",22000,Louisiana,745248,28,56669,"Midcontinent Independent System Operator",MISO
305,"Alger-Delta Coop Electric Assn",26000,Michigan,76716,28,56669,"Midcontinent Independent System Operator",MISO
307,"Algoma Utility Comm",55000,Wisconsin,45161,28,56669,"Midcontinent Independent System Operator",MISO
308,"City of Acworth - (GA)",13000,Georgia,99664,48,18195,"Southern Company Services, Inc. - Transmission",SOCO
309,"City of Algona - (IA)",19000,Iowa,114814,51,59504,"Southwest Power Pool",SWPP
329,"Allamakee-Clayton El Coop, Inc",19000,Iowa,125852,28,56669,"Midcontinent Independent System Operator",MISO
367,"City of Alliance- (NE)",31000,Nebraska,110243,51,59504,"Southwest Power Pool",SWPP
392,"Alpena Power Co",26000,Michigan,350941,28,56669,"Midcontinent Independent System Operator",MISO
407,"Altamaha Electric Member Corp",13000,Georgia,410942,48,18195,"Southern Company Services, Inc. - Transmission",SOCO
416,"City of Altus - (OK)",40000,Oklahoma,195626,51,59504,"Southwest Power Pool",SWPP
471,"Amana Society Service Co",19000,Iowa,96369,28,56669,"Midcontinent Independent System Operator",MISO
540,"BP Energy Company",53000,Washington,835770,42,15500,"Puget Sound Energy Inc.",PSEI
540,"BP Energy Company",48000,Texas,47012,14,5723,"Electric Reliability Council of Texas",ERCO
554,"City of Ames - (IA)",19000,Iowa,658626,28,56669,"Midcontinent Independent System Operator",MISO
560,"City of Amherst- (OH)",39000,Ohio,107051,39,14725,"PJM Interconnection, LLC",PJM
562,"Amicalola Electric Member Corp",13000,Georgia,731488,48,18195,"Southern Company Services, Inc. - Transmission",SOCO
571,"City of Amory",28000,Mississippi,138443,57,18642,"Tennessee Valley Authority",TVA
577,"City of Alcoa Utilities",47000,Tennessee,629545,57,18642,"Tennessee Valley Authority",TVA
590,"City of Anaheim - (CA)",6000,California,2356277,9,2775,"California Independent System Operator",CISO
599,"Anchorage Municipal Light and Power",2000,Alaska,991879,2,599,"Anchorage Municipal Light and Power",AMPL
604,"City of Andalusia",1000,Alabama,361147,61,189,"PowerSouth Energy Cooperative",AEC
636,"City of Anderson - (IN)",18000,Indiana,832214,39,14725,"PJM Interconnection, LLC",PJM
689,"Connexus Energy",27000,Minnesota,1953247,28,56669,"Midcontinent Independent System Operator",MISO
690,"City of Bardstown - (KY)",21000,Kentucky,195913,27,11249,"Louisville Gas & Electric and Kentucky Utilities",LGEE
691,"City of Anoka",27000,Minnesota,275234,28,56669,"Midcontinent Independent System Operator",MISO
694,"Anza Electric Coop Inc",6000,California,54170,59,25471,"Western Area Power Administration - Desert Southwest Region",WALC
719,"Town of Apex- (NC)",37000,North Carolina,302769,10,3046,"Duke Energy Progress East",CPLE
727,"Appalachian Electric Coop",47000,Tennessee,927222,57,18642,"Tennessee Valley Authority",TVA
733,"Appalachian Power Co",51000,Virginia,15367593,39,14725,"PJM Interconnection, LLC",PJM
733,"Appalachian Power Co",54000,West Virginia,12956080,39,14725,"PJM Interconnection, LLC",PJM
733,"Appalachian Power Co",51000,Virginia,114565,39,14725,"PJM Interconnection, LLC",PJM
750,"Arab Electric Coop Inc",1000,Alabama,307259,57,18642,"Tennessee Valley Authority",TVA
803,"Arizona Public Service Co",4000,Arizona,28022002,4,803,"Arizona Public Service Company",AZPS
814,"Entergy Arkansas Inc",5000,Arkansas,20639342,28,56669,"Midcontinent Independent System Operator",MISO
814,"Entergy Arkansas Inc",47000,Tennessee,44,28,56669,"Midcontinent Independent System Operator",MISO
817,"Arkansas Valley Elec Coop Corp",5000,Arkansas,1125585,51,59504,"Southwest Power Pool",SWPP
817,"Arkansas Valley Elec Coop Corp",40000,Oklahoma,86049,51,59504,"Southwest Power Pool",SWPP
828,"City of Arlington - (MN)",27000,Minnesota,15803,28,56669,"Midcontinent Independent System Operator",MISO
887,"Arrowhead Electric Coop, Inc",27000,Minnesota,67743,28,56669,"Midcontinent Independent System Operator",MISO
907,"City of Ashland - (OR)",41000,Oregon,165619,37,14378,"PacifiCorp - West",PACW
918,"City of Aspen- (CO)",8000,Colorado,65983,41,15466,"Public Service Co. of Colorado",PSCO
942,"Atchison-Holt Electric Coop",19000,Iowa,16189,1,924,"Associated Electric Cooperative, Inc.",AECI
942,"Atchison-Holt Electric Coop",29000,Missouri,64876,1,924,"Associated Electric Cooperative, Inc.",AECI
944,"City of Athens - (AL)",1000,Alabama,1104475,57,18642,"Tennessee Valley Authority",TVA
947,"Athens Utility Board",47000,Tennessee,625529,57,18642,"Tennessee Valley Authority",TVA
963,"Atlantic City Electric Co",34000,New Jersey,4880220,39,14725,"PJM Interconnection, LLC",PJM
963,"Atlantic City Electric Co",34000,New Jersey,4178653,39,14725,"PJM Interconnection, LLC",PJM
965,"Atlantic Municipal Utilities",19000,Iowa,108060,28,56669,"Midcontinent Independent System Operator",MISO
970,"Homefield Energy",17000,Illinois,2566786,39,14725,"PJM Interconnection, LLC",PJM
970,"Homefield Energy",17000,Illinois,9584566,28,56669,"Midcontinent Independent System Operator",MISO
993,"Auburn Board of Public Works",31000,Nebraska,55386,51,59504,"Southwest Power Pool",SWPP
994,"City of Auburn - (IN)",18000,Indiana,438223,39,14725,"PJM Interconnection, LLC",PJM
998,"City of Augusta - (KS)",20000,Kansas,64782,51,59504,"Southwest Power Pool",SWPP
1009,"City of Austin - (MN)",27000,Minnesota,338850,28,56669,"Midcontinent Independent System Operator",MISO
1015,"Austin Energy",48000,Texas,12939762,14,5723,"Electric Reliability Council of Texas",ERCO
1024,"City of Ava - (MO)",29000,Missouri,60624,1,924,"Associated Electric Cooperative, Inc.",AECI
1036,"Town of Ayden - (NC)",37000,North Carolina,102125,10,3046,"Duke Energy Progress East",CPLE
1050,"City of Azusa",6000,California,253700,9,2775,"California Independent System Operator",CISO
1062,"BARC Electric Coop Inc",51000,Virginia,179205,39,14725,"PJM Interconnection, LLC",PJM
1101,"Bagley Public Utilities Comm",27000,Minnesota,24198,28,56669,"Midcontinent Independent System Operator",MISO
1148,"City of Baldwin City- (KS)",20000,Kansas,31464,51,59504,"Southwest Power Pool",SWPP
1149,"Baldwin County El Member Corp",1000,Alabama,1369246,61,189,"PowerSouth Energy Cooperative",AEC
1167,"Baltimore Gas & Electric Co",24000,Maryland,12223365,39,14725,"PJM Interconnection, LLC",PJM
1167,"Baltimore Gas & Electric Co",24000,Maryland,17796222,39,14725,"PJM Interconnection, LLC",PJM
1169,"Bailey County Elec Coop Assn",48000,Texas,280492,51,59504,"Southwest Power Pool",SWPP
1175,"Bandera Electric Coop, Inc",48000,Texas,578324,14,5723,"Electric Reliability Council of Texas",ERCO
1176,"City of Bandon - (OR)",41000,Oregon,60889,6,1738,"Bonneville Power Administration - Transmission",BPAT
1179,"Emera Maine",23000,Maine,318677,30,1,"New Brunswick System Operator",NBSO
1179,"Emera Maine",23000,Maine,1049849,24,13434,"ISO New England Inc.",ISNE
1179,"Emera Maine",23000,Maine,195194,30,1,"New Brunswick System Operator",NBSO
1179,"Emera Maine",23000,Maine,366666,24,13434,"ISO New England Inc.",ISNE
1181,"Village of Bangor - (WI)",55000,Wisconsin,25675,28,56669,"Midcontinent Independent System Operator",MISO
1192,"City of Banning - (CA)",6000,California,138422,9,2775,"California Independent System Operator",CISO
1196,"Village of Baraga - (MI)",26000,Michigan,17837,28,56669,"Midcontinent Independent System Operator",MISO
1201,"Barbourville Utility Comm",21000,Kentucky,93624,27,11249,"Louisville Gas & Electric and Kentucky Utilities",LGEE
1233,"City of Barnesville - (MN)",27000,Minnesota,20702,28,56669,"Midcontinent Independent System Operator",MISO
1251,"Barron Electric Coop",55000,Wisconsin,319688,28,56669,"Midcontinent Independent System Operator",MISO
1273,"Bartlett Electric Coop, Inc",48000,Texas,192580,14,5723,"Electric Reliability Council of Texas",ERCO
1276,"Barrow Utils & Elec Coop, Inc",2000,Alaska,50162,29,-9999,"Missing",NA
1279,"Barry Electric Coop",29000,Missouri,177067,1,924,"Associated Electric Cooperative, Inc.",AECI
1283,"Bartholomew County Rural E M C",18000,Indiana,410090,28,56669,"Midcontinent Independent System Operator",MISO
1300,"City of Bartow - (FL)",12000,Florida,276202,16,6455,"Duke Energy Florida",FPC
1301,"Barton County Elec Coop, Inc",29000,Missouri,150449,1,924,"Associated Electric Cooperative, Inc.",AECI
1307,"Basin Electric Power Coop",38000,North Dakota,996496,51,59504,"Southwest Power Pool",SWPP
1307,"Basin Electric Power Coop",56000,Wyoming,466,58,28503,"Western Area Power Administration - Rocky Mountain Region",WACM
1325,"City of Batavia - (IL)",17000,Illinois,435002,39,14725,"PJM Interconnection, LLC",PJM
1366,"City of Bay City - (MI)",26000,Michigan,324657,28,56669,"Midcontinent Independent System Operator",MISO
1367,"Bayfield Electric Coop, Inc",26000,Michigan,159,28,56669,"Midcontinent Independent System Operator",MISO
1367,"Bayfield Electric Coop, Inc",55000,Wisconsin,77038,28,56669,"Midcontinent Independent System Operator",MISO
1417,"Beartooth Electric Coop, Inc",30000,Montana,56193,33,12825,"NorthWestern Energy - Montana",NWMT
1417,"Beartooth Electric Coop, Inc",56000,Wyoming,6411,33,12825,"NorthWestern Energy - Montana",NWMT
1427,"City of Beatrice - (NE)",31000,Nebraska,170473,51,59504,"Southwest Power Pool",SWPP
1456,"Town of Bedford - (VA)",51000,Virginia,206907,39,14725,"PJM Interconnection, LLC",PJM
1458,"Beauregard Electric Coop, Inc",22000,Louisiana,1037170,28,56669,"Midcontinent Independent System Operator",MISO
1523,"Town of Belmont - (MA)",25000,Massachusetts,121212,24,13434,"ISO New England Inc.",ISNE
1525,"City of Beloit - (KS)",20000,Kansas,42563,51,59504,"Southwest Power Pool",SWPP
1529,"Beltrami Electric Coop, Inc",27000,Minnesota,349123,28,56669,"Midcontinent Independent System Operator",MISO
1566,"City of Bennettsville - (SC)",45000,South Carolina,85396,43,17543,"South Carolina Public Service Authority",SC
1573,"City of Benson - (MN)",27000,Minnesota,33843,28,56669,"Midcontinent Independent System Operator",MISO
1578,"Benton County",47000,Tennessee,194248,57,18642,"Tennessee Valley Authority",TVA
1579,"PUD No 1 of Benton County",53000,Washington,1694078,6,1738,"Bonneville Power Administration - Transmission",BPAT
1581,"City of Benton - (AR)",5000,Arkansas,254439,28,56669,"Midcontinent Independent System Operator",MISO
1582,"City of Benton - (KY)",21000,Kentucky,70824,57,18642,"Tennessee Valley Authority",TVA
1586,"City of Bentonville - (AR)",5000,Arkansas,657838,51,59504,"Southwest Power Pool",SWPP
1591,"Big Country Electric Coop, Inc",48000,Texas,234291,14,5723,"Electric Reliability Council of Texas",ERCO
1601,"City of Beresford",46000,South Dakota,29028,51,59504,"Southwest Power Pool",SWPP
1611,"Linde Energy Services, Inc.",10000,Delaware,218391,39,14725,"PJM Interconnection, LLC",PJM
1611,"Linde Energy Services, Inc.",17000,Illinois,259651,28,56669,"Midcontinent Independent System Operator",MISO
1611,"Linde Energy Services, Inc.",23000,Maine,96099,24,13434,"ISO New England Inc.",ISNE
1611,"Linde Energy Services, Inc.",34000,New Jersey,6249,39,14725,"PJM Interconnection, LLC",PJM
1611,"Linde Energy Services, Inc.",36000,New York,45229,34,13501,"New York Independent System Operator",NYIS
1611,"Linde Energy Services, Inc.",39000,Ohio,145289,39,14725,"PJM Interconnection, LLC",PJM
1611,"Linde Energy Services, Inc.",42000,Pennsylvania,639726,39,14725,"PJM Interconnection, LLC",PJM
1613,"Berkeley Electric Coop Inc",45000,South Carolina,2400724,43,17543,"South Carolina Public Service Authority",SC
1625,"Benton Rural Electric Assn",53000,Washington,601830,6,1738,"Bonneville Power Administration - Transmission",BPAT
1640,"City of Bessemer Utilities",1000,Alabama,314123,57,18642,"Tennessee Valley Authority",TVA
1675,"Big Horn Rural Electric Co",30000,Montana,18548,58,28503,"Western Area Power Administration - Rocky Mountain Region",WACM
1675,"Big Horn Rural Electric Co",56000,Wyoming,109054,58,28503,"Western Area Power Administration - Rocky Mountain Region",WACM
1683,"Big Horn County Elec Coop, Inc",30000,Montana,57022,6,1738,"Bonneville Power Administration - Transmission",BPAT
1683,"Big Horn County Elec Coop, Inc",56000,Wyoming,4009,6,1738,"Bonneville Power Administration - Transmission",BPAT
1708,"Big Sandy Rural Elec Coop Corp",21000,Kentucky,222519,39,14725,"PJM Interconnection, LLC",PJM
1723,"Big Bend Electric Coop, Inc",53000,Washington,527311,6,1738,"Bonneville Power Administration - Transmission",BPAT
1736,"Blachly-Lane County Coop El Assn",41000,Oregon,165321,6,1738,"Bonneville Power Administration - Transmission",BPAT
1738,"Bonneville Power Administration",16000,Idaho,8831,6,1738,"Bonneville Power Administration - Transmission",BPAT
1738,"Bonneville Power Administration",41000,Oregon,5163,6,1738,"Bonneville Power Administration - Transmission",BPAT
1738,"Bonneville Power Administration",53000,Washington,5040416,6,1738,"Bonneville Power Administration - Transmission",BPAT
1763,"Black River Electric Coop, Inc - (SC)",45000,South Carolina,686860,43,17543,"South Carolina Public Service Authority",SC
1764,"Black Diamond Power Co",54000,West Virginia,53188,39,14725,"PJM Interconnection, LLC",PJM
1769,"Black Hills Electric Coop, Inc",46000,South Dakota,136777,51,59504,"Southwest Power Pool",SWPP
1775,"Black River Electric Coop - (MO)",29000,Missouri,444984,1,924,"Associated Electric Cooperative, Inc.",AECI
1776,"City of Black River Falls",55000,Wisconsin,58582,28,56669,"Midcontinent Independent System Operator",MISO
1780,"Black Warrior Elec Member Corp",1000,Alabama,390593,48,18195,"Southern Company Services, Inc. - Transmission",SOCO
1818,"City of Blaine - (WA)",53000,Washington,74636,42,15500,"Puget Sound Energy Inc.",PSEI
1857,"Block Island Power Co",44000,Rhode Island,11740,29,-9999,"Missing",NA
1869,"City of Bloomfield - (IA)",19000,Iowa,27879,1,924,"Associated Electric Cooperative, Inc.",AECI
1883,"Blue Earth Light & Water",27000,Minnesota,55773,28,56669,"Midcontinent Independent System Operator",MISO
1884,"BENCO Electric Cooperative",27000,Minnesota,390231,28,56669,"Midcontinent Independent System Operator",MISO
1886,"Blue Grass Energy Coop Corp",21000,Kentucky,1318637,39,14725,"PJM Interconnection, LLC",PJM
1889,"Blue Ridge Elec Member Corp - (NC)",37000,North Carolina,1069201,12,5416,"Duke Energy Carolinas",DUK
1890,"Blue Ridge Electric Coop Inc - (SC)",45000,South Carolina,1060888,12,5416,"Duke Energy Carolinas",DUK
1891,"Blue Ridge Mountain EMC - (GA)",13000,Georgia,449797,57,18642,"Tennessee Valley Authority",TVA
1891,"Blue Ridge Mountain EMC - (GA)",37000,North Carolina,198537,57,18642,"Tennessee Valley Authority",TVA
1892,"Bluebonnet Electric Coop, Inc",48000,Texas,1955276,14,5723,"Electric Reliability Council of Texas",ERCO
1896,"City of Bluffton - (IN)",18000,Indiana,314287,39,14725,"PJM Interconnection, LLC",PJM
1898,"Bon Homme Yankton El Assn, Inc",46000,South Dakota,84951,51,59504,"Southwest Power Pool",SWPP
1913,"City of Boerne",48000,Texas,133487,14,5723,"Electric Reliability Council of Texas",ERCO
1936,"Bolivar Energy Authority",47000,Tennessee,229543,57,18642,"Tennessee Valley Authority",TVA
1997,"City of Boscobel - (WI)",55000,Wisconsin,44993,28,56669,"Midcontinent Independent System Operator",MISO
2001,"Boone Electric Coop",29000,Missouri,537770,1,924,"Associated Electric Cooperative, Inc.",AECI
2008,"City of Boulder City - (NV)",32000,Nevada,156042,59,25471,"Western Area Power Administration - Desert Southwest Region",WALC
2010,"City of Bountiful",49000,Utah,282089,36,14379,"PacifiCorp - East",PACE
2049,"Bowie-Cass Electric Coop, Inc",48000,Texas,601695,51,59504,"Southwest Power Pool",SWPP
2054,"City of Bowling Green - (OH)",39000,Ohio,535735,39,14725,"PJM Interconnection, LLC",PJM
2056,"City of Bowling Green - (KY)",21000,Kentucky,906812,57,18642,"Tennessee Valley Authority",TVA
2089,"Bozrah Light & Power Company",9000,Connecticut,206392,24,13434,"ISO New England Inc.",ISNE
2138,"Brainerd Public Utilities",27000,Minnesota,180334,28,56669,"Midcontinent Independent System Operator",MISO
2144,"Town of Braintree - (MA)",25000,Massachusetts,343879,24,13434,"ISO New England Inc.",ISNE
2182,"City of Breckenridge- (MN)",27000,Minnesota,36826,28,56669,"Midcontinent Independent System Operator",MISO
2192,"Bremen Electric Light & Power Co",18000,Indiana,164356,28,56669,"Midcontinent Independent System Operator",MISO
2194,"City of Brenham - (TX)",48000,Texas,261441,14,5723,"Electric Reliability Council of Texas",ERCO
2206,"City of Brewster - (MN)",27000,Minnesota,4346,28,56669,"Midcontinent Independent System Operator",MISO
2212,"Broad River Electric Coop, Inc",37000,North Carolina,5658,12,5416,"Duke Energy Carolinas",DUK
2212,"Broad River Electric Coop, Inc",45000,South Carolina,367522,12,5416,"Duke Energy Carolinas",DUK
2215,"Bridger Valley Elec Assn, Inc",49000,Utah,12793,58,28503,"Western Area Power Administration - Rocky Mountain Region",WACM
2215,"Bridger Valley Elec Assn, Inc",56000,Wyoming,133167,58,28503,"Western Area Power Administration - Rocky Mountain Region",WACM
2220,"Brigham City Corporation",49000,Utah,157206,36,14379,"PacifiCorp - East",PACE
2247,"City of Bristol - (TN)",47000,Tennessee,885321,57,18642,"Tennessee Valley Authority",TVA
2248,"Bristol Virginia Utilities",51000,Virginia,517191,57,18642,"Tennessee Valley Authority",TVA
2273,"Brodhead Water & Lighting Comm",55000,Wisconsin,33852,28,56669,"Midcontinent Independent System Operator",MISO
2277,"City of Broken Bow - (NE)",31000,Nebraska,95483,51,59504,"Southwest Power Pool",SWPP
2285,"City of Brookings - (SD)",46000,South Dakota,315068,58,28503,"Western Area Power Administration - Rocky Mountain Region",WACM
2316,"Brown County Rural Elec Assn",27000,Minnesota,161091,28,56669,"Midcontinent Independent System Operator",MISO
2354,"Brown-Atchison E C A Inc",20000,Kansas,47933,51,59504,"Southwest Power Pool",SWPP
2394,"Burke-Divide Electric Coop Inc",38000,North Dakota,251360,51,59504,"Southwest Power Pool",SWPP
2409,"Brownsville Public Utilities Board",48000,Texas,1267037,14,5723,"Electric Reliability Council of Texas",ERCO
2411,"City of Brownsville",47000,Tennessee,215473,57,18642,"Tennessee Valley Authority",TVA
2439,"City of Bryan - (OH)",39000,Ohio,181810,39,14725,"PJM Interconnection, LLC",PJM
2442,"City of Bryan - (TX)",48000,Texas,1368782,14,5723,"Electric Reliability Council of Texas",ERCO
2481,"Cargill Power Markets LLC",53000,Washington,219581,42,15500,"Puget Sound Energy Inc.",PSEI
2485,"City of Buffalo - (MN)",27000,Minnesota,112712,28,56669,"Midcontinent Independent System Operator",MISO
2487,"City of Buford",13000,Georgia,195603,48,18195,"Southern Company Services, Inc. - Transmission",SOCO
2502,"Buckeye Rural Elec Coop, Inc",39000,Ohio,245585,39,14725,"PJM Interconnection, LLC",PJM
2507,"City of Burbank Water and Power",6000,California,1095898,26,11208,"Los Angeles Department of Water and Power",LDWP
2545,"City of Burley - (ID)",16000,Idaho,110722,6,1738,"Bonneville Power Administration - Transmission",BPAT
2548,"City of Burlington Electric - (VT)",50000,Vermont,340281,24,13434,"ISO New England Inc.",ISNE
2551,"City of Burlington - (KS)",20000,Kansas,31573,51,59504,"Southwest Power Pool",SWPP
2599,"Burt County Public Power Dist",31000,Nebraska,84335,51,59504,"Southwest Power Pool",SWPP
2641,"Butler Rural El Coop Assn, Inc - (KS)",20000,Kansas,127378,51,59504,"Southwest Power Pool",SWPP
2643,"Butler Public Power District - (NE)",31000,Nebraska,176637,51,59504,"Southwest Power Pool",SWPP
2650,"Borough of Butler - (NJ)",34000,New Jersey,155987,39,14725,"PJM Interconnection, LLC",PJM
2651,"Butler Rural Electric Coop Inc - (OH)",39000,Ohio,212486,39,14725,"PJM Interconnection, LLC",PJM
2652,"Butler County Rural Elec Coop - (IA)",19000,Iowa,257385,51,59504,"Southwest Power Pool",SWPP
2655,"Butte Electric Coop, Inc",46000,South Dakota,98020,58,28503,"Western Area Power Administration - Rocky Mountain Region",WACM
2678,"C & L Electric Coop Corp",5000,Arkansas,350211,28,56669,"Midcontinent Independent System Operator",MISO
2773,"City of Cairo - (GA)",13000,Georgia,131907,48,18195,"Southern Company Services, Inc. - Transmission",SOCO
2774,"CMS Electric Coop Inc",20000,Kansas,220372,51,59504,"Southwest Power Pool",SWPP
2812,"City of Calhoun - (GA)",13000,Georgia,438724,48,18195,"Southern Company Services, Inc. - Transmission",SOCO
2830,"Calpine Power America LLC",6000,California,1001516,9,2775,"California Independent System Operator",CISO
2830,"Calpine Power America LLC",23000,Maine,8381,24,13434,"ISO New England Inc.",ISNE
2830,"Calpine Power America LLC",48000,Texas,506978,14,5723,"Electric Reliability Council of Texas",ERCO
2849,"Central Electric Power Assn - (MS)",28000,Mississippi,862660,57,18642,"Tennessee Valley Authority",TVA
2888,"City of Cambridge - (NE)",31000,Nebraska,48281,51,59504,"Southwest Power Pool",SWPP
2890,"City of Camden",45000,South Carolina,173841,10,3046,"Duke Energy Progress East",CPLE
2900,"City of Cameron",29000,Missouri,79906,1,924,"Associated Electric Cooperative, Inc.",AECI
2903,"Canoochee Electric Member Corp",13000,Georgia,413663,48,18195,"Southern Company Services, Inc. - Transmission",SOCO
2910,"City of Camilla",13000,Georgia,147943,48,18195,"Southern Company Services, Inc. - Transmission",SOCO
2911,"Canadian Valley Elec Coop, Inc",40000,Oklahoma,671502,51,59504,"Southwest Power Pool",SWPP
2955,"Canby Utility Board",41000,Oregon,171333,38,15248,"Portland General Electric",PGE
2960,"Caney Fork Electric Coop, Inc",47000,Tennessee,625758,57,18642,"Tennessee Valley Authority",TVA
2961,"Caney Valley El Coop Assn, Inc",20000,Kansas,61049,51,59504,"Southwest Power Pool",SWPP
2974,"Canton Municipal Utilities",28000,Mississippi,119351,28,56669,"Midcontinent Independent System Operator",MISO
2982,"Cape Hatteras Elec Member Corp",37000,North Carolina,135500,39,14725,"PJM Interconnection, LLC",PJM
2985,"Capital Electric Coop, Inc",38000,North Dakota,339014,51,59504,"Southwest Power Pool",SWPP
2986,"Cam Wal Electric Coop, Inc",46000,South Dakota,58292,51,59504,"Southwest Power Pool",SWPP
2998,"Carbon Power & Light, Inc",56000,Wyoming,99930,58,28503,"Western Area Power Administration - Rocky Mountain Region",WACM
3046,"Duke Energy Progress - (NC)",37000,North Carolina,37500389,10,3046,"Duke Energy Progress East",CPLE
3046,"Duke Energy Progress - (NC)",45000,South Carolina,6367438,10,3046,"Duke Energy Progress East",CPLE
3075,"Carroll County - (TN)",47000,Tennessee,425828,57,18642,"Tennessee Valley Authority",TVA
3076,"Carroll Electric Coop, Inc - (OH)",39000,Ohio,153098,39,14725,"PJM Interconnection, LLC",PJM
3081,"Carroll Electric Member Corp - (GA)",13000,Georgia,1064392,48,18195,"Southern Company Services, Inc. - Transmission",SOCO
3093,"Carroll Electric Coop Corp - (AR)",5000,Arkansas,1783090,51,59504,"Southwest Power Pool",SWPP
3093,"Carroll Electric Coop Corp - (AR)",29000,Missouri,137415,51,59504,"Southwest Power Pool",SWPP
3107,"Carteret-Craven El Member Corp",37000,North Carolina,580169,10,3046,"Duke Energy Progress East",CPLE
3108,"City of Cartersville - (GA)",13000,Georgia,565038,48,18195,"Southern Company Services, Inc. - Transmission",SOCO
3113,"City of Carthage - (MO)",29000,Missouri,292922,49,17716,"Southwestern Power Administration",SPA
3203,"Cedar Falls Utilities",19000,Iowa,491294,28,56669,"Midcontinent Independent System Operator",MISO
3205,"Cedar-Knox Public Power Dist",31000,Nebraska,237386,51,59504,"Southwest Power Pool",SWPP
3208,"Cedarburg Light & Water Comm",55000,Wisconsin,106083,28,56669,"Midcontinent Independent System Operator",MISO
3216,"City of Celina - (OH)",39000,Ohio,220464,39,14725,"PJM Interconnection, LLC",PJM
3222,"Central Alabama Electric Coop",1000,Alabama,702902,61,189,"PowerSouth Energy Cooperative",AEC
