Utility_Number,Utility_Name,State_FIPS,State_Name,Total_Sales_MWh,BA_Code,BA_Number,BA_Long_Name,BA_Short_Name
887,"Arrowhead Electric Coop, Inc",27000,Minnesota,71976,28,56669,"Midcontinent Independent System Operator",MISO
907,"City of Ashland - (OR)",41000,Oregon,177290,37,14378,"PacifiCorp - West",PACW
918,"City of Aspen- (CO)",8000,Colorado,64474,41,15466,"Public Service Co. of Colorado",PSCO
942,"Atchison-Holt Electric Coop",19000,Iowa,16122,1,924,"Associated Electric Cooperative, Inc.",AECI
942,"Atchison-Holt Electric Coop",29000,Missouri,67093,1,924,"Associated Electric Cooperative, Inc.",AECI
944,"City of Athens - (AL)",1000,Alabama,1093809,57,18642,"Tennessee Valley Authority",TVA
947,"Athens Utility Board",47000,Tennessee,628761,57,18642,"Tennessee Valley Authority",TVA
963,"Atlantic City Electric Co",34000,New Jersey,4448035,39,14725,"PJM Interconnection, LLC",PJM
963,"Atlantic City Electric Co",34000,New Jersey,4136518,39,14725,"PJM Interconnection, LLC",PJM
965,"Atlantic Municipal Utilities",19000,Iowa,108113,28,56669,"Midcontinent Independent System Operator",MISO
970,"Homefield Energy",17000,Illinois,1321484,39,14725,"PJM Interconnection, LLC",PJM
970,"Homefield Energy",17000,Illinois,7491427,28,56669,"Midcontinent Independent System Operator",MISO
993,"Auburn Board of Public Works",31000,Nebraska,55590,51,59504,"Southwest Power Pool",SWPP
994,"City of Auburn - (IN)",18000,Indiana,426676,39,14725,"PJM Interconnection, LLC",PJM
998,"City of Augusta - (KS)",20000,Kansas,66039,51,59504,"Southwest Power Pool",SWPP
1009,"City of Austin - (MN)",27000,Minnesota,335917,28,56669,"Midcontinent Independent System Operator",MISO
1015,"Austin Energy",48000,Texas,12905561,14,5723,"Electric Reliability Council of Texas",ERCO
1024,"City of Ava - (MO)",29000,Missouri,61245,1,924,"Associated Electric Cooperative, Inc.",AECI
1036,"Town of Ayden - (NC)",37000,North Carolina,101787,10,3046,"Duke Energy Progress East",CPLE
1050,"City of Azusa",6000,California,255975,9,2775,"California Independent System Operator",CISO
1062,"BARC Electric Coop Inc",51000,Virginia,173401,39,14725,"PJM Interconnection, LLC",PJM
1101,"Bagley Public Utilities Comm",27000,Minnesota,24112,28,56669,"Midcontinent Independent System Operator",MISO
1148,"City of Baldwin City- (KS)",20000,Kansas,30691,51,59504,"Southwest Power Pool",SWPP
1149,"Baldwin County El Member Corp",1000,Alabama,1347727,61,189,"PowerSouth Energy Cooperative",AEC
1167,"Baltimore Gas & Electric Co",24000,Maryland,11645890,39,14725,"PJM Interconnection, LLC",PJM
1167,"Baltimore Gas & Electric Co",24000,Maryland,17324876,39,14725,"PJM Interconnection, LLC",PJM
1169,"Bailey County Elec Coop Assn",48000,Texas,245155,51,59504,"Southwest Power Pool",SWPP
1175,"Bandera Electric Coop, Inc",48000,Texas,581899,14,5723,"Electric Reliability Council of Texas",ERCO
1176,"City of Bandon - (OR)",41000,Oregon,65315,6,1738,"Bonneville Power Administration - Transmission",BPAT
1179,"Emera Maine",23000,Maine,312412,30,1,"New Brunswick System Operator",NBSO
1179,"Emera Maine",23000,Maine,1070076,24,13434,"ISO New England Inc.",ISNE
1179,"Emera Maine",23000,Maine,206845,30,1,"New Brunswick System Operator",NBSO
1179,"Emera Maine",23000,Maine,347607,24,13434,"ISO New England Inc.",ISNE
1181,"Village of Bangor - (WI)",55000,Wisconsin,25232,28,56669,"Midcontinent Independent System Operator",MISO
1192,"City of Banning - (CA)",6000,California,145337,9,2775,"California Independent System Operator",CISO
1196,"Village of Baraga - (MI)",26000,Michigan,19176,28,56669,"Midcontinent Independent System Operator",MISO
1201,"Barbourville Utility Comm",21000,Kentucky,88488,27,11249,"Louisville Gas & Electric and Kentucky Utilities",LGEE
1233,"City of Barnesville - (MN)",27000,Minnesota,21830,28,56669,"Midcontinent Independent System Operator",MISO
1251,"Barron Electric Coop",55000,Wisconsin,354193,28,56669,"Midcontinent Independent System Operator",MISO
1273,"Bartlett Electric Coop, Inc",48000,Texas,189532,14,5723,"Electric Reliability Council of Texas",ERCO
1276,"Barrow Utils & Elec Coop, Inc",2000,Alaska,49165,29,-9999,"Missing",NA
1279,"Barry Electric Coop",29000,Missouri,168340,1,924,"Associated Electric Cooperative, Inc.",AECI
1283,"Bartholomew County Rural E M C",18000,Indiana,403712,28,56669,"Midcontinent Independent System Operator",MISO
1300,"City of Bartow - (FL)",12000,Florida,268964,16,6455,"Duke Energy Florida",FPC
1301,"Barton County Elec Coop, Inc",29000,Missouri,145477,1,924,"Associated Electric Cooperative, Inc.",AECI
1307,"Basin Electric Power Coop",38000,North Dakota,1021838,51,59504,"Southwest Power Pool",SWPP
1307,"Basin Electric Power Coop",56000,Wyoming,435,58,28503,"Western Area Power Administration - Rocky Mountain Region",WACM
1325,"City of Batavia - (IL)",17000,Illinois,416903,39,14725,"PJM Interconnection, LLC",PJM
1366,"City of Bay City - (MI)",26000,Michigan,307941,28,56669,"Midcontinent Independent System Operator",MISO
1367,"Bayfield Electric Coop, Inc",26000,Michigan,170,28,56669,"Midcontinent Independent System Operator",MISO
1367,"Bayfield Electric Coop, Inc",55000,Wisconsin,77455,28,56669,"Midcontinent Independent System Operator",MISO
1417,"Beartooth Electric Coop, Inc",30000,Montana,59887,33,12825,"NorthWestern Energy - Montana",NWMT
1417,"Beartooth Electric Coop, Inc",56000,Wyoming,6832,33,12825,"NorthWestern Energy - Montana",NWMT
1427,"City of Beatrice - (NE)",31000,Nebraska,178043,51,59504,"Southwest Power Pool",SWPP
1456,"Town of Bedford - (VA)",51000,Virginia,203552,39,14725,"PJM Interconnection, LLC",PJM
1458,"Beauregard Electric Coop, Inc",22000,Louisiana,1055813,28,56669,"Midcontinent Independent System Operator",MISO
1523,"Town of Belmont - (MA)",25000,Massachusetts,122072,24,13434,"ISO New England Inc.",ISNE
1525,"City of Beloit - (KS)",20000,Kansas,41992,51,59504,"Southwest Power Pool",SWPP
1529,"Beltrami Electric Coop, Inc",27000,Minnesota,363492,28,56669,"Midcontinent Independent System Operator",MISO
1566,"City of Bennettsville - (SC)",45000,South Carolina,78248,43,17543,"South Carolina Public Service Authority",SC
1573,"City of Benson - (MN)",27000,Minnesota,33217,28,56669,"Midcontinent Independent System Operator",MISO
1578,"Benton County",47000,Tennessee,189242,57,18642,"Tennessee Valley Authority",TVA
1579,"PUD No 1 of Benton County",53000,Washington,1785098,6,1738,"Bonneville Power Administration - Transmission",BPAT
1581,"City of Benton - (AR)",5000,Arkansas,249400,28,56669,"Midcontinent Independent System Operator",MISO
